,Uncheck External Calls,Strict Balance Equality,Transaction State Dependency,Block Info Dependency,Greedy Contract,DoS Under External Influence,Nest Call,Reentrancy
ae53aaff39f07cb48386ef33bc5fc72cc55d6f1c,0,0,0,0,0,0,0,0
c3ef562cc403c8f9edf7c3826655fbf50f4ddde8,0,0,0,0,0,0,0,0
01bd70a0cc118bca4c70624286488e8f3d78a10f,0,0,0,0,0,0,0,0
967081d634f01003b2c5b3d8ea5aa2c55000722e,0,0,0,0,0,0,0,0
37a5bb09f4d7613803f6bdd52d261c01ec2a7540,0,0,0,0,0,0,0,0
0b9e9c56ec900fbea85546444458d3c31ab60572,0,0,0,0,0,0,0,0
606af0bd4501855914b50e2672c5926b896737ef,0,0,0,0,0,0,0,0
e2e5d0e1422e927abab19ad2067f802ad07fb364,0,0,0,0,0,0,0,0
e9ef26c4e9761e2305f455a0e0d4cd286e2d13a1,0,0,0,0,0,0,0,0
4290563C2D7c255B5EEC87f2D3bD10389f991d68,0,0,0,1,0,0,0,0
05580ac8bdcdecee70c39592cd07c303992d58b8,0,0,0,0,0,0,0,0
45d147c800d401350b24fc1cd5fbc98040b177c8,0,0,0,1,0,0,0,1
2956356cd2a2bf3202f771f50d3d14a367b48070,0,0,0,0,0,0,0,0
c330c1a3c7db9c75f60aed0a9b7c0fc5fa22d5a2,0,0,0,0,0,0,0,0
787C2fFFB74F559219836a77FAd6181f808b6F73,0,0,0,0,0,0,0,0
3b5F11dBaC1476af17957C6e5991F21c826743dd,0,0,0,0,0,0,0,0
a549ef3164556b3fdba16680798032b993c2325b,0,0,0,0,0,0,0,0
8eb24319393716668d768dcec29356ae9cffe285,0,0,0,0,0,0,0,0
e6517b766e6ee07f91b517435ed855926bcb1aae,0,0,0,0,0,0,0,0
A97fF44CFf7101FaC76aF172F088f400F28cb4E9,0,0,0,0,0,0,0,0
2097175d0abb8258f2468e3487f8db776e29d076,0,0,0,0,0,0,0,0
8c959f04ea4a9111a49dc34df9de59ca8e23037c,0,0,0,0,0,0,0,0
5882D49d3511E09096CBbaB7E19fBFb82f65f28D,0,0,0,0,0,0,0,0
73dd069c299a5d691e9836243bcaec9c8c1d8734,0,0,0,1,0,0,0,0
B47aD434C6e401473F1d3442001Ac69cda1dcFDd,0,0,0,0,0,0,0,0
b3b33f59174f2ef62167770e4c9cabaa3879eb5d,0,0,0,1,0,0,0,0
11524a168d1b888df781a87a6b4511f199b543ad,0,0,0,0,0,0,0,0
cd6608b1291d4307652592c29bff7d51f1ad83d7,0,0,0,0,0,0,0,0
0b8d56c26d8cf16fe1bddf4967753503d974de06,0,0,0,0,0,0,0,0
b0bef286a13457b963c710fa7765961d09a27c63,0,0,0,0,0,0,0,0
e758421818E3FC974730292C0704F7b77DaA791c,0,0,0,0,0,0,0,0
709c7134053510fce03b464982eab6e3d89728a5,0,0,0,0,0,0,0,0
D0B56cbCD938AEAfb41915C09594eE88F3c5C41b,0,0,0,0,0,0,0,0
8d12a197cb00d4747a1fe03395095ce2a5cc6819,0,0,0,1,0,0,0,0
8f1e7E18c96C4B75D12CBcA93613Dfebd16eb0E1,0,0,0,0,0,0,0,0
f39C702594792B91aec6d881C9e6ebD2022A2271,0,0,0,0,0,0,0,0
93d812bf90a575d628e246b0966505a9e466f534,0,0,0,0,0,0,0,0
f1ed1fdb9f35ec6758262b4f0683d60f799bf8b6,0,0,0,0,0,0,0,0
5b7ea49f9fa4cc48f6737b72bd36bb4b9732bb7d,0,0,0,0,0,0,0,0
06012c8cf97bead5deae237070f9587f8e7a266d,1,0,0,1,0,0,0,0
e2d82dc7da0e6f882e96846451f4fabcc8f90528,0,0,0,0,0,0,0,0
2c3cc0f8dede2eccae43380ecf29b61fa6d10dca,0,0,0,0,0,0,0,1
b104df39250112eda59b27f5db7013c7ee132d50,0,0,0,0,0,0,0,0
3868eaf38f1319c70c4557c2234cd3e89947c633,0,0,0,0,0,0,0,0
35a69642857083ba2f30bfab735dacc7f0bac969,0,0,0,0,0,0,0,0
60a76ea79eBC7264F2897EE7FE4f33F31ef25A74,0,0,0,0,0,0,0,0
3744942C42451c2B42F43a51eE9bB6c6ad0FDc86,0,0,0,0,0,0,0,0
df6164efd12678bf6a7d5a1ddf73c831493f6574,0,0,0,0,0,0,0,0
761d0ca58b3b34ccf4f66438f9d6378e2f063dce,0,0,0,0,0,0,0,0
fc5c6c8015962e7035f3bdc5fe7ec94bedc77833,0,0,0,0,0,0,0,0
15f2e85efb82c61ba4963b67aa1e89cf72cd0c37,0,0,0,0,0,1,0,0
8a8ca863f73992fcc43dd64c7261ba9dcc8e2181,0,0,0,0,0,0,0,0
f0300337E920aE843040A71584f870aE719bf5eD,0,0,0,0,0,0,0,0
e64d5f33e28387855d33980719f27f0d579392af,0,0,0,0,0,0,0,0
8f199d74d89b977d3f0684f0572bc66b16120ed8,0,0,0,0,0,0,0,0
ad1ff4873633c9248130fbfe28d17e1bd5467cc4,0,0,0,0,0,0,0,0
99892ac6da1b3851167cb959fe945926bca89f09,0,0,0,0,0,0,0,0
d7e4ad7c318ffbafbf602e32e089e7e2326a2581,0,0,0,0,0,0,0,0
402b92b00552409ed1ad83a74ff037ce1a3d7276,0,0,0,0,0,0,0,0
18a672e11d637fffadccc99b152f4895da069601,0,0,0,1,0,0,0,0
a723606e907bf84215d5785ea7f6cd93a0fbd121,0,0,0,0,0,0,0,0
d780ae2bf04cd96e577d3d014762f831d97129d0,0,0,0,1,0,0,0,0
3076d20cef23cf934fc6f857eb97e2baa63fc9fb,0,0,0,0,0,0,0,0
30407ece7f4252a7e2d786207831561b33ec3f13,0,0,0,0,0,0,0,0
55D5B8fE471cc4e19D7f0fc17D7a98c0C72A5688,0,0,0,0,0,0,0,0
bF35fAA9C265bAf50C9CFF8c389C363B05753275,1,0,0,0,0,0,0,0
89c0afcd1bdbb91675b9fca14519738d5286b61e,0,0,0,0,0,0,0,0
a87c3ec87eb802aad080df0adb331e504d327e5d,0,0,0,0,0,0,0,0
bbc5d510bab53b2199fb17fe1d896eb78911e103,0,0,0,0,0,0,0,0
30758B708a2A31C3ab7dE6B8637adBed725e33aE,0,0,0,0,0,0,0,0
94add786881a945e68f3dfd1478f586ba36769b5,0,0,0,0,0,0,0,0
d6A755BCe1844Ad6b7681118b18f54D63E5C13F9,0,0,0,0,0,0,0,0
476c331d7f6569dc4bd16ef6673f7a89cd6f37c3,0,0,0,0,0,0,0,0
7ee41a4c66e92fe28abd5bde30ad644a2dc8b15f,0,0,0,0,0,0,0,0
b28a3dd24036151c819c6d401f7a222d9aa3671b,0,0,0,0,0,0,0,0
e1df194ae7366876e91a0999e29530719452e558,0,0,0,0,0,0,0,0
2873b3659847cf9a069041fe4f5e48786afcb632,0,0,0,0,0,0,0,0
5019066b46ae4b8673085b609be366400f53871b,0,0,0,1,0,0,0,0
bca230c0b76993bc21b67640d420fe9d8bc931aa,0,0,0,0,0,0,0,0
d32c26B14030c724c0118576308Ea2fB3300D10f,0,0,0,0,0,0,0,0
9b0f6a5a667cb92af0cd15dbe90e764e32f69e77,1,0,0,0,0,0,0,0
9e46a38f5daabe8683e10793b06749eef7d733d1,0,0,0,0,0,0,0,0
7A46C781b593068d5e987b191e9c2f7413E22aEE,0,0,0,0,0,0,0,0
ed574d920a0c152ca136717c79a352b83f3bb058,0,0,0,0,0,0,0,0
446D1696a5527018453cdA3d67aa4C2cd189b9f6,1,0,0,0,0,0,1,0
040d11c850fb167cddb1e4d308fe9062fddaebd1,0,0,0,0,0,0,0,0
373c55c277b866a69dc047cad488154ab9759466,0,0,0,1,0,0,0,0
8eee81d817c9548615d69c485074b55df487ab95,0,0,0,0,0,0,0,0
0905a9844f41d1be68f99dd4bd51be6838892010,0,0,0,0,0,0,0,0
00674045bb7c17f0aa1cde34780d6c51af548728,0,0,0,0,0,0,0,0
173fc908b21b861facf54c65c10002b1e2f9c323,0,0,0,0,0,0,0,0
8d3bd2940bbc5ed724d138934374e4c0ad3c0027,0,0,0,0,0,0,0,0
c23f76aea00b775aadc8504ccb22468f4fd2261a,0,0,0,1,0,0,0,0
728781e75735dc0962df3a51d7ef47e798a7107e,0,0,0,1,0,0,0,1
3726cc0cdb26106bfb297ee6697da2a8687f385b,0,0,0,1,0,0,0,0
dad697274f95f909ad12437c516626d65263ce47,0,0,0,0,0,0,0,0
9a4ee79ab5ef423162873d3df22047b392492e58,0,0,0,0,0,0,0,0
04c62019ab478bff5874e7b7d9bc84fcf7e30025,0,0,0,0,0,0,0,0
9e4ad79049282f942c1b4c9b418f0357a0637017,0,0,0,0,0,0,0,0
0F4a28085713c1a5DEdc5D6f471c79AFe2d9321e,0,0,0,0,0,0,0,0
22a97c80d7e0a9ae616737e3b8b531248f4ef91d,0,0,0,1,0,0,0,0
a1c957c0210397d2d0296341627b74411756d476,0,0,0,0,0,0,0,0
ace518c4cb2b823c2ab2b12c709e71e11cfb8896,0,0,0,0,0,0,0,0
0ccb03cb1a89808209eaebbcb059ed05e44cb9cf,0,0,0,0,0,0,0,0
6f6deb5db0c4994a8283a01d6cfeeb27fc3bbe9c,0,0,0,1,0,0,0,0
b47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,0,0,0,0,0,0,0,0
075a5d77E17502ABa0388746aA229BB33682f521,0,0,0,0,0,0,0,0
6b609d9095d069c805650234ab67595b3a6ab934,0,0,1,0,0,0,0,0
62c8b4ac2aef3ed13b929ca9fb20cacb222e3fa6,0,0,0,0,0,0,0,0
66385555FC121D18Dc95eC3A8ECd51AB2B660dE5,0,0,0,0,0,0,0,0
d58297b5e0ad69f6ba949fdde9da0f2b978f00a0,0,0,0,0,0,0,0,0
365267181bc0ef38bbb8d8ca9b330dc0c3ac01d1,0,0,0,0,0,1,1,0
10b7d09dca7f9c6d33a9aeef5bf2bb5ce3ec1550,0,0,0,0,0,0,0,0
7352cb77c2478a59d21230a8d65146e04b59f58c,0,0,0,0,0,0,0,1
615ed6779507f223d04722d43ccc0cd871964e2a,0,0,0,0,0,0,0,0
8b7d07b6ffB9364e97B89cEA8b84F94249bE459F,0,0,0,0,0,0,0,0
901f47957338bf52b6a45ef67a3de09346c3fa29,0,0,0,0,0,0,0,0
